"","price","unit_size","land_size","age","todt","sales_year"
"427",255000,89.186882019043,74.3224029541016,17,0,2004
"428",419500,408.773193359375,901.159118652344,66,0,2011
"429",335700,122.631958007812,232.257507324219,38,0,2003
"430",345000,167.782821655273,185.991806030273,1,0,2005
"431",3e+05,104.794586181641,692.127380371094,100,0,2010
"432",299468,185.805999755859,371.611999511719,4,0,2004
"433",165200,120.773902893066,139.354507446289,10,0,2003
"434",4e+05,115.199722290039,325.160491943359,71,0,2006
"435",395000,156.077041625977,351.17333984375,33,0,2003
"436",245000,95.8758926391602,121.888732910156,13,0,2004
"437",495846,231.328475952148,141.212554931641,1,0,2007
"438",472500,175.586669921875,192.309204101562,33,0,2008
"439",334620,96.9907302856445,220.644622802734,79,0,2009
"440",330000,146.415130615234,110.554573059082,5,0,2006
"441",520000,195.096298217773,222.967193603516,3,0,2007
"442",455000,85.4707565307617,444.540863037109,69,0,2009
"443",450000,198.440811157227,226.776229858398,1,0,2006
"444",462500,156.448654174805,306.579895019531,29,0,2009
"445",335000,91.0449371337891,196.954360961914,9,0,2012
"446",328600,163.50927734375,130.064193725586,15,0,2006
"447",425000,163.880889892578,204.386596679688,6,0,2005
"448",261000,173.728607177734,86.306884765625,10,0,2003
"449",370000,173.914413452148,241.547805786133,18,0,2004
"450",185510,99.3133087158203,267.096130371094,84,0,2004
"451",131719,86.306884765625,32.7947578430176,1,0,2003
"452",350000,135.452575683594,371.611999511719,79,0,2004
"453",725000,431.441528320312,1793.02795410156,33,1,2003
"454",520000,134.709350585938,269.418701171875,105,0,2006
"455",420000,204.386596679688,234.580078125,25,0,2005
"456",285000,125.790664672852,46.4514999389648,11,0,2007
"457",415000,148.644805908203,260.128387451172,43,0,2008
"458",425000,102.193298339844,250.838104248047,30,0,2005
"459",365000,118.915840148926,241.547805786133,34,0,2004
"460",451250,97.5481491088867,427.353790283203,57,0,2007
"461",240000,144.278366088867,52.0256805419922,8,0,2004
"462",245000,104.051361083984,364.830078125,81,0,2006
"463",370000,89.186882019043,268.118072509766,88,0,2008
"464",480000,127.091300964355,225.754287719727,91,0,2006
"465",383000,89.186882019043,998.707275390625,84,0,2004
"466",320000,157.006072998047,94.2965469360352,10,0,2005
"467",283920,134.523544311523,97.5481491088867,16,0,2009
"468",349800,260.778717041016,248.051010131836,11,0,2010
"469",2678650,173.171188354492,264.866455078125,0,0,2003
"470",238290,125.790664672852,46.4514999389648,1,0,2005
"471",345000,171.68473815918,371.611999511719,72,0,2012
"472",339690,176.515701293945,131.364837646484,0,0,2003
"473",290000,136.753219604492,362.321685791016,46,0,2006
"474",247200,87.1430130004883,250.838104248047,107,0,2006
"475",425000,157.935104370117,418.063507080078,60,0,2005
"476",282000,100.335243225098,87.6075286865234,24,0,2012
"477",324500,125.790664672852,46.4514999389648,7,0,2006
"478",710000,159.42155456543,380.902313232422,42,0,2007
"479",380000,91.0449371337891,232.257507324219,106,0,2005
"480",330000,74.5082092285156,334.450805664062,61,0,2006
"481",298000,122.167442321777,59.4579200744629,17,0,2004
"482",290000,167.225402832031,167.689910888672,8,0,2006
"483",478000,128.763565063477,296.639282226562,23,0,2006
"484",221450,73.5791778564453,139.354507446289,74,0,2004
"485",455000,184.969879150391,207.173690795898,1,0,2012
"486",395359,146.415130615234,1379.33081054688,59,0,2004
"487",287370,97.5481491088867,232.814910888672,11,0,2004
"488",365547,107.024253845215,299.147674560547,2,0,2006
"489",660000,232.257507324219,512.824584960938,15,0,2009
"490",481650,197.883392333984,232.257507324219,1,0,2009
"491",555000,208.845947265625,229.470413208008,23,0,2005
"492",340000,129.878387451172,116.128753662109,17,0,2007
"493",462508,181.71826171875,146.322219848633,13,0,2010
